"article_year","issue_total_citations","issue_total_articles","issue_total_debuts","issue_total_debuts_available","issue_total_debuts_unavailable","cum_cit","cum_art","cum_debute","cum_debute_avail","cum_debute_unavail"
1991,1572,18,18,10,5,1572,18,18,10,5
1992,1321,19,4,1,1,2893,37,22,11,6
1993,2716,24,6,3,3,5609,61,28,14,9
1994,4078,40,19,6,10,9687,101,47,20,19
1996,3742,56,23,8,12,13429,157,70,28,31
1997,4775,65,17,7,9,18204,222,87,35,40
1998,9125,94,36,13,22,27329,316,123,48,62
1999,12064,105,43,23,20,39393,421,166,71,82
2000,37950,115,42,11,31,77343,536,208,82,113
2001,14325,98,56,23,33,91668,634,264,105,146
2002,20314,112,58,26,32,111982,746,322,131,178
2003,20915,133,80,35,45,132897,879,402,166,223
2004,26319,145,102,53,49,159216,1024,504,219,272
2005,18678,140,99,54,45,177894,1164,603,273,317
2006,25093,162,107,65,42,202987,1326,710,338,359
2007,19741,176,120,75,45,222728,1502,830,413,404
2008,25509,187,122,82,40,248237,1689,952,495,444
2009,30191,181,113,81,32,278428,1870,1065,576,476
2010,17323,135,71,55,16,295751,2005,1136,631,492
2011,23192,183,111,83,28,318943,2188,1247,714,520
2012,22671,198,123,102,21,341614,2386,1370,816,541
2013,17916,179,104,91,13,359530,2565,1474,907,554
2014,17227,185,88,82,6,376757,2750,1562,989,560
2015,7193,173,81,73,8,383950,2923,1643,1062,568
2016,1285,177,84,79,5,385235,3100,1727,1141,573
